Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species
Spy x Family ,3.5,Good,0.2,setosa
Spy x Family,3,Bad,0.2,setosa
Spy x Family,3.2,Mixed,0.2,setosa
Spy x Family,3.1,Mixed,0.2,setosa
Spy x Family,3.6,Good,0.2,setosa
Spy x Family,3.9,Good,0.4,setosa
Spy x Family,3.4,Good,0.3,setosa
Spy x Family,3.4,Good,0.2,setosa
Spy x Family,2.9,Good,0.2,setosa
Spy x Family,3.1,Good,0.1,setosa
Spy x Family,3.7,Good,0.2,setosa
Spy x Family,3.4,Good,0.2,setosa
Spy x Family,3,Good,0.1,setosa
Spy x Family,3,Good,0.1,setosa
Spy x Family,4,Good,0.2,setosa
Spy x Family,4.4,Good,0.4,setosa
Spy x Family,3.9,Good,0.4,setosa
Spy x Family,3.5,Good,0.3,setosa
Spy x Family,3.8,Good,0.3,setosa
Spy x Family,3.8,Same ones as new review,0.3,setosa
Spy x Family,3.4,Same ones as new review,0.2,setosa
Spy x Family,3.7,Same ones as new review,0.4,setosa
Spy x Family,3.6,Same ones as new review,0.2,setosa
Spy x Family,3.3,Same ones as new review,0.5,setosa
Spy x Family,3.4,Same ones as new review,0.2,setosa
One Piece,3.2,Good,1.4,versicolor
One Piece,3.2,Mixed,1.5,versicolor
One Piece,3.1,Bad,1.5,versicolor
One Piece,2.3,Mixed,1.3,versicolor
One Piece,2.8,Mixed,1.5,versicolor
One Piece,2.8,Good,1.3,versicolor
One Piece,3.3,Bad,1.6,versicolor
One Piece,2.4,Good,1,versicolor
One Piece,2.9,Good,1.3,versicolor
One Piece,2.7,Good,1.4,versicolor
One Piece,2,Bad,1,versicolor
One Piece,3,Good,1.5,versicolor
One Piece,2.2,Good,1,versicolor
One Piece,2.9,Good,1.4,versicolor
One Piece,2.9,Good,1.3,versicolor
One Piece,3.1,Good,1.4,versicolor
One Piece,3,Good,1.5,versicolor
One Piece,2.7,Good,1,versicolor
One Piece,2.2,Good,1.5,versicolor
One Piece,2.5,Good,1.1,versicolor
One Piece,3.2,Good,1.8,versicolor
One Piece,2.8,Good,1.3,versicolor
One Piece,2.5,Good,1.5,versicolor
One Piece,2.8,Good,1.2,versicolor
One Piece,2.9,Good,1.3,versicolor
One Piece,3,Good,1.4,versicolor
One Piece,2.8,Good,1.4,versicolor
One Piece,3,Good,1.7,versicolor
One Piece,2.9,Good,1.5,versicolor
One Piece,2.6,Good,1,versicolor
One Piece,2.4,Good,1.1,versicolor
Shinreigari (Ghost Hound),3.3,Good,2.5,virginica
Shinreigari (Ghost Hound),2.7,Mixed,1.9,virginica
Shinreigari (Ghost Hound),3,Good,2.1,virginica
Shinreigari (Ghost Hound),2.9,Good,1.8,virginica
Shinreigari (Ghost Hound),3,Good,2.2,virginica
Shinreigari (Ghost Hound),3,Good,2.1,virginica
Shinreigari (Ghost Hound),2.5,Good,1.7,virginica
Shinreigari (Ghost Hound),2.9,Good,1.8,virginica
Shinreigari (Ghost Hound),2.5,Good,1.8,virginica
Shinreigari (Ghost Hound),3.6,Good,2.5,virginica
Shinreigari (Ghost Hound),3.2,Bad,2,virginica
Shinreigari (Ghost Hound),2.7,Good,1.9,virginica
Shinreigari (Ghost Hound),3,Good,2.1,virginica
Shinreigari (Ghost Hound),2.5,Good,2,virginica
Shinreigari (Ghost Hound),2.8,Good,2.4,virginica
Shinreigari (Ghost Hound),3.2,Good,2.3,virginica
Shinreigari (Ghost Hound),3,Good,1.8,virginica
Shinreigari (Ghost Hound),3.8,Good,2.2,virginica
Shinreigari (Ghost Hound),2.6,Good,2.3,virginica
Shinreigari (Ghost Hound),2.2,Good,1.5,virginica
Shinreigari (Ghost Hound),3.2,Good,2.3,virginica
Shinreigari (Ghost Hound),2.8,Good,2,virginica
Shinreigari (Ghost Hound),2.8,Good,2,virginica
Shinreigari (Ghost Hound),2.7,Good,1.8,virginica
Shinreigari (Ghost Hound),3.3,Good,2.1,virginica
