Anime The vertical markers,New and old reviews the colors in the graph,Rating how high or low on the markers the points are,Additional Data Ex: Reason.,Species
Spy x Family Part 1,New review,Good,"Wacky, Breath of fresh air",setosa
Spy x Family Part 1,New review,Bad,Jokes are too predictable,setosa
Spy x Family Part 1,New review,Mixed,"Loid got outshined by Anya, was good at beginning",setosa
Spy x Family Part 1,New review,Mixed,"Pacing is slow, graphics are good",setosa
Spy x Family Part 1,New review,Good,"Interesting Premise, good comedy",setosa
Spy x Family Part 1,New review,Good,"Good Breezy Comedy, okayish hyjinks",setosa
Spy x Family Part 1,Old review,Good,Excellent Voice Actors,setosa
Spy x Family Part 1,Old review,Good,Funny and Heartwarming,setosa
Spy x Family Part 1,Old review,Good,Funny and free of Japanese Cliches,setosa
Spy x Family Part 1,Old review,Good,"Interesting characters, crazy moments",setosa
Spy x Family Part 1,Old review,Good,"Well produced, exceeded expectations",setosa
Spy x Family Part 1,Old review,Good,Adapted Manga fairly well,setosa
Spy x Family Part 2,New review,Good,Strangely beautiful,setosa
Spy x Family Part 2,New review,Good,"Well written characters, cool villain",setosa
Spy x Family Part 2,New review,Good,Wholesome,setosa
Spy x Family Part 2,New review,Good,Comedic Slice of life,setosa
Spy x Family Part 2,New review,Good,Better than first season,setosa
Spy x Family Part 2,New review,Good,Quality transcends expectations,setosa
Spy x Family Part 2,New review,Good,Simple and nicely done comedy,setosa
Spy x Family Part 2,Old review,Same ones as new review,N/A,setosa
Spy x Family Part 2,Old review,Same ones as new review,N/A,setosa
Spy x Family Part 2,Old review,Same ones as new review,N/A,setosa
Spy x Family Part 2,Old review,Same ones as new review,N/A,setosa
Spy x Family Part 2,Old review,Same ones as new review,N/A,setosa
Spy x Family Part 2,Old review,Same ones as new review,N/A,setosa
One Piece,New review,Good,Diverse World,versicolor
One Piece,New review,Mixed,Not worth if looking for complex characterization,versicolor
One Piece,New review,Bad,So bad it makes them want to punch their screen,versicolor
One Piece,New review,Mixed,Love anime lore but anime can be a chore to watch,versicolor
One Piece,New review,Mixed,Good but tropey,versicolor
One Piece,New review,Good,One piece stole their life,versicolor
One Piece,New review,Bad,Story is amazing but art and pacing is horrible,versicolor
One Piece,New review,Good,World building and characters,versicolor
One Piece,New review,Good,Good ever since ep 1,versicolor
One Piece,New review,Good,"Amazing fight scenes, engaging villains",versicolor
One Piece,New review,Bad,Obnoxious and simplistic,versicolor
One Piece,New review,Good,"Mysterys and plot twists, not like other anime",versicolor
One Piece,New review,Good,Some people will hate it but not them,versicolor
One Piece,New review,Good,Rewards mystery and hype,versicolor
One Piece,New review,Good,Does everything perfectly except for drama,versicolor
One Piece,Old review,Good,Fell in love after getting past first 20 episodes,versicolor
One Piece,Old review,Good,Never stays in one place for too long,versicolor
One Piece,Old review,Good,Great animation,versicolor
One Piece,Old review,Good,"Tons of development, intricate story",versicolor
One Piece,Old review,Good,"Pirates, keeps on getting better",versicolor
One Piece,Old review,Good,Picks up after Luffy getting four new crew members,versicolor
One Piece,Old review,Good,Everyone would love the main character,versicolor
One Piece,Old review,Good,Dub made it bad but the sub is really good,versicolor
One Piece,Old review,Good,Well written plot,versicolor
One Piece,Old review,Good,"Story is awesome, animation is better over time",versicolor
One Piece,Old review,Good,Funny yeliing scene got them hooked,versicolor
One Piece,Old review,Good,"Despite not a fan of animation, plot is really good",versicolor
One Piece,Old review,Good,Fun show,versicolor
One Piece,Old review,Good,Lots of uniqueness in characters/weapons/etc...,versicolor
One Piece,Old review,Good,"Story is great, animation is detailed",versicolor
One Piece,Old review,Good,Believable character personalities,versicolor
Shinreigari (Ghost Hound),New review,Good,Psychological meets spritual in best way,virginica
Shinreigari (Ghost Hound),New review,Mixed,"Scared them, middle was a drag but end was great",virginica
Shinreigari (Ghost Hound),New review,Good,Slow burner but good development,virginica
Shinreigari (Ghost Hound),New review,Good,Incorporated real world fears,virginica
Shinreigari (Ghost Hound),New review,Good,"Good visuals, story keeps them on their toes",virginica
Shinreigari (Ghost Hound),New review,Good,Engrossing story and curious about the world,virginica
Shinreigari (Ghost Hound),New review,Good,Rewatchable several times,virginica
Shinreigari (Ghost Hound),New review,Good,Mastered sound effects,virginica
Shinreigari (Ghost Hound),New review,Good,"No fan service, no lazy writing",virginica
Shinreigari (Ghost Hound),New review,Good,Original and interesting plot,virginica
Shinreigari (Ghost Hound),New review,Bad,Slow and cuts off plot points abruptly,virginica
Shinreigari (Ghost Hound),New review,Good,Handles the mystery very well,virginica
Shinreigari (Ghost Hound),Old review,Good,Already deep story 2 episodes in,virginica
Shinreigari (Ghost Hound),Old review,Good,Top notch sound effects and good atmosphere,virginica
Shinreigari (Ghost Hound),Old review,Good,Forgoes gore and jumps into creepiness,virginica
Shinreigari (Ghost Hound),Old review,Good,Very touching and thought provoking,virginica
Shinreigari (Ghost Hound),Old review,Good,Complex technical terminology,virginica
Shinreigari (Ghost Hound),Old review,Good,Incredibly complex story,virginica
Shinreigari (Ghost Hound),Old review,Good,WTF moments that will draw anyone in,virginica
Shinreigari (Ghost Hound),Old review,Good,Everything is good except the abrupt ending,virginica
Shinreigari (Ghost Hound),Old review,Good,Vivid character personalities,virginica
Shinreigari (Ghost Hound),Old review,Good,"Marathoned it, fun and profound",virginica
Shinreigari (Ghost Hound),Old review,Good,Mind blowing story and sound,virginica
Shinreigari (Ghost Hound),Old review,Good,Profound must see regardless of genre tastes,virginica
Shinreigari (Ghost Hound),Old review,Good,Unique and requires a dictionary which is engaging,virginica
